asset,familia,veredicto,png,abajo_px,abajo_pct,cola_tenue_px,arriba,izq,der,colocado,motivo
gardens/garden_tree_plaza,cenital,no proyectar,1024x1024,72,7.0,2,69,64,59,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
houses/curse_house_iso,en_pie,recortar abajo,1024x1024,72,7.0,1,68,59,56,1,"edificio en pie, la base visible coincide con el borde de la tinta"
gardens/garden_1,cenital,no proyectar,1024x1024,71,6.9,4,16,0,6,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
totems/totem_destruido,en_pie,recortar abajo,1024x1536,89,5.8,3,80,184,156,1,"edificio en pie, la base visible coincide con el borde de la tinta"
totems/totem_sufriendo,en_pie,recortar abajo,1024x1536,88,5.7,2,24,181,175,0,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/healer,en_pie,recortar abajo,1024x1024,54,5.3,0,50,72,71,1,"edificio en pie, la base visible coincide con el borde de la tinta"
gardens/flowers_7,cenital,no proyectar,904x904,47,5.2,1,11,20,23,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
statues/statue_olim_01,en_pie,recortar abajo,1024x1024,53,5.2,1,17,232,247,1,"edificio en pie, la base visible coincide con el borde de la tinta"
portals/portal_stone_arch,en_pie,recortar abajo,1024x1024,48,4.7,3,56,163,164,1,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/ukranian_super_1,en_pie,recortar abajo,1024x1024,48,4.7,0,16,24,40,1,"edificio en pie, la base visible coincide con el borde de la tinta"
gardens/garden_4,cenital,no proyectar,1024x1024,47,4.6,0,54,38,38,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
shops/jewlery_shop,en_pie,recortar abajo,1024x1024,47,4.6,0,24,2,10,1,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/banco,en_pie,recortar abajo,1024x1536,69,4.5,1,38,27,26,1,"edificio en pie, la base visible coincide con el borde de la tinta"
temples/catholic,en_pie,recortar abajo,1024x1536,63,4.1,0,67,19,21,1,"edificio en pie, la base visible coincide con el borde de la tinta"
statues/statue_dwarf_warrior,en_pie,recortar abajo,1024x1024,41,4.0,1,31,203,207,0,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_1,en_pie,recortar abajo,456x626,25,4.0,1,14,0,3,1,"edificio en pie, la base visible coincide con el borde de la tinta"
totems/totem_cargando_energia,en_pie,recortar abajo,1024x1536,59,3.8,2,24,179,175,1,"edificio en pie, la base visible coincide con el borde de la tinta"
gardens/garden_5,cenital,no proyectar,1024x1024,39,3.8,3,73,48,44,1,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
vegetation/tree_10,en_pie,recortar abajo,251x324,12,3.7,0,20,5,5,1,"edificio en pie, la base visible coincide con el borde de la tinta"
shops/healer_1,en_pie,recortar abajo,1024x1024,37,3.6,1,16,91,125,1,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_7,en_pie,recortar abajo,227x309,11,3.6,0,3,5,5,0,"edificio en pie, la base visible coincide con el borde de la tinta"
gardens/flowers_8,cenital,no proyectar,444x174,6,3.4,1,10,4,5,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
vegetation/tree_9,en_pie,recortar abajo,251x324,10,3.1,0,8,6,3,0,"edificio en pie, la base visible coincide con el borde de la tinta"
vegetation/tree_8,en_pie,no merece la pena,251x308,9,2.9,0,25,5,8,0,"9 px de margen, por debajo del umbral visible"
totems/totem_forest,en_pie,no merece la pena,1024x1536,42,2.7,0,41,160,168,1,"42 px de margen, por debajo del umbral visible"
gardens/flowers_2,cenital,no proyectar,412x412,11,2.7,0,9,22,5,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
market/cart_bakery_bread,en_pie,no merece la pena,104x80,2,2.5,0,0,0,0,0,"2 px de margen, por debajo del umbral visible"
market/crate_eggplants_purple,en_pie,no merece la pena,55x42,1,2.4,0,0,1,0,0,"1 px de margen, por debajo del umbral visible"
gardens/flowers_1,cenital,no proyectar,412x169,4,2.4,1,4,4,4,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
gardens/flowers_6,cenital,no proyectar,904x904,20,2.2,1,23,11,47,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
castles/castle_1,en_pie,no merece la pena,1536x1024,19,1.9,1,5,126,299,0,"19 px de margen, por debajo del umbral visible"
signs/sign_alchemist_blue_flask,en_pie,no merece la pena,82x112,2,1.8,0,0,0,0,0,"2 px de margen, por debajo del umbral visible"
totems/totem_riendo,en_pie,no merece la pena,1024x1536,27,1.8,1,61,172,176,0,"27 px de margen, por debajo del umbral visible"
houses/orden_house_2,en_pie,no merece la pena,1024x1024,17,1.7,2,0,0,0,1,"17 px de margen, por debajo del umbral visible"
props/net_drying_stand,en_pie,no merece la pena,93x64,1,1.6,0,0,0,0,0,"1 px de margen, por debajo del umbral visible"
temples/satanist,en_pie,no merece la pena,1024x1024,16,1.6,1,27,19,21,1,"16 px de margen, por debajo del umbral visible"
vegetation/tree_3,en_pie,no merece la pena,490x627,9,1.4,0,17,11,5,1,"9 px de margen, por debajo del umbral visible"
gardens/flowers_5,cenital,no proyectar,904x904,11,1.2,2,47,23,20,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
vegetation/tree_4,en_pie,no merece la pena,96x192,2,1.0,0,11,6,9,0,"2 px de margen, por debajo del umbral visible"
nature/tree_cherry_blossom_small,en_pie,recortar a tinta solida,73x102,1,1.0,4,0,0,0,0,lleva sombra/hierba PINTADA tenue de 4 px: recortar a alfa>8 la conserva y deja la linea de pies igual de baja
castles/castle_2,en_pie,no merece la pena,1024x1024,10,1.0,0,0,34,35,1,"10 px de margen, por debajo del umbral visible"
gardens/flowers_9,cenital,no proyectar,169x412,4,1.0,1,4,4,4,1,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
shops/magic_tower,en_pie,no merece la pena,1024x1536,14,0.9,1,0,25,32,1,"14 px de margen, por debajo del umbral visible"
gardens/flowers_4,cenital,no proyectar,174x444,4,0.9,0,5,10,6,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
nature/tree_enchanted_pixel_4,en_pie,no merece la pena,150x224,2,0.9,0,0,0,0,0,"2 px de margen, por debajo del umbral visible"
nature/tree_tropical_pixel_1,en_pie,no merece la pena,123x224,2,0.9,0,0,0,0,1,"2 px de margen, por debajo del umbral visible"
signs/signpost_arrows_lantern,en_pie,no merece la pena,71x115,1,0.9,1,1,0,0,0,"1 px de margen, por debajo del umbral visible"
others/fuente,cenital,no proyectar,1024x1024,8,0.8,12,16,32,32,1,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
shops/shop_apothecary,en_pie,no merece la pena,1024x1024,8,0.8,2,0,66,64,0,"8 px de margen, por debajo del umbral visible"
gardens/flowers_3,cenital,no proyectar,462x451,3,0.7,0,4,3,2,0,"pieza cenital: es suelo dibujado desde arriba, no tiene base que arroje sombra"
houses/building_bank_tall,en_pie,no merece la pena,242x211,1,0.5,0,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_corrupted_fantasy_alt_2,en_pie,no merece la pena,149x224,1,0.4,1,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_snowy_pixel_7,en_pie,no merece la pena,161x224,1,0.4,0,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_winter_1,en_pie,no merece la pena,195x256,1,0.4,1,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_snowy_conifer_5,en_pie,no merece la pena,161x288,1,0.3,1,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_snowy_conifer_8,en_pie,no merece la pena,200x288,1,0.3,0,0,0,0,0,"1 px de margen, por debajo del umbral visible"
nature/tree_pine_conifer,en_pie,no merece la pena,204x304,1,0.3,0,0,0,0,1,"1 px de margen, por debajo del umbral visible"
